Floor,Date,Number of rooms,Apartment number,m2,Price,Remuneration,Fact of sale,Address
1,,3,1,73.76,10 150 000,5 261 778,,Dadaeva
1,,2,2,63.96,8 570 000,4 336 457,,Dadaeva
2,,3,6,74.35,10 390 000,5 462 683,,Dadaeva
2,,2,7,65.23,8 660 000,4 342 303,,Dadaeva
4,,2,20,59.74,7 780 000,3 804 220,,Dadaeva
9,,3,41,74.78,10 690 000,5 728 227,,Dadaeva
1,,1,47,41.73,5 710 000,2 944 845,,Dadaeva
1,,1,48,41.73,5 710 000,2 944 845,,Dadaeva
1,,2,49,62.29,7 940 000,3 801 213,,Dadaeva
2,,2,50,66.62,8 450 000,4 024 294,,Dadaeva
2,,1,51,43.08,6 020 000,3 165 390,,Dadaeva
2,,1,52,43.08,6 020 000,3 165 390,,Dadaeva
8,,2,74,66.48,8 650 000,4 224 294,,Dadaeva
1,,1,82,49.77,6 000 000,2 700 103,,Dadaeva
1,,1,84,41.91,5 730 000,2 954 906,,Dadaeva
1,,1,85,39.46,5 530 000,2 913 274,,Dadaeva
2,,2,87,61.93,8 170 000,4 050 429,,Dadaeva
2,,1,88,49.77,6 160 000,2 860 103,,Dadaeva
2,,1,90,41.91,5 870 000,3 094 906,,Dadaeva
4,,2,99,61.93,8 230 000,4 110 429,,Dadaeva
4,,1,102,41.91,5 930 000,3 154 906,,Dadaeva
5,,2,105,61.93,8 340 000,4 220 429,,Dadaeva
5,,2,107,58.39,7 840 000,3 974 879,,Dadaeva
5,,2,110,54.78,7 790 000,4 207 294,,Dadaeva
6,,2,113,58.39,7 840 000,3 974 879,,Dadaeva
7,,1,118,49.68,6 330 000,3 075 371,,Dadaeva
1,,1,136,41.73,5 680 000,2 840 315,,Dadaeva
1,,1,137,41.73,5 680 000,2 840 315,,Dadaeva
1,,2,138,62.37,7 940 000,3 686 257,,Dadaeva
2,,1,140,41.73,5 830 000,2 990 315,,Dadaeva
2,,1,141,41.73,5 830 000,2 990 315,,Dadaeva
3,,1,144,41.73,5 840 000,3 000 315,,Dadaeva
3,,1,145,41.73,5 840 000,3 000 315,,Dadaeva
4,,1,148,41.73,5 880 000,3 040 315,,Dadaeva
4,,1,149,41.73,5 880 000,3 040 315,,Dadaeva
5,,1,152,41.73,5 920 000,3 080 315,,Dadaeva
5,,1,153,41.73,5 920 000,3 080 315,,Dadaeva
6,,1,156,41.73,5 960 000,3 120 315,,Dadaeva
6,,1,157,41.73,5 960 000,3 120 315,,Dadaeva
7,,1,160,41.64,5 990 000,3 150 315,,Dadaeva
