Floor,Date,Number of rooms,Apartment number,m2,Price,Remuneration,Fact of sale,Address
1,01.01.2025,3,1,73.76,10 150 000,5 261 778,No,Dadaeva
1,01.01.2025,2,2,63.96,8 570 000,4 336 457,No,Dadaeva
2,01.01.2025,3,6,74.35,10 390 000,5 462 683,No,Dadaeva
2,01.01.2025,2,7,65.23,8 660 000,4 342 303,No,Dadaeva
4,01.01.2025,2,20,59.74,7 780 000,3 804 220,No,Dadaeva
9,01.01.2025,3,41,74.78,10 690 000,5 728 227,No,Dadaeva
1,01.01.2025,1,47,41.73,5 710 000,2 944 845,No,Dadaeva
1,01.01.2025,1,48,41.73,5 710 000,2 944 845,No,Dadaeva
1,01.01.2025,2,49,62.29,7 940 000,3 801 213,No,Dadaeva
2,01.01.2025,2,50,66.62,8 450 000,4 024 294,No,Dadaeva
2,01.01.2025,1,51,43.08,6 020 000,3 165 390,No,Dadaeva
2,01.01.2025,1,52,43.08,6 020 000,3 165 390,No,Dadaeva
8,01.01.2025,2,74,66.48,8 650 000,4 224 294,No,Dadaeva
1,01.01.2025,1,82,49.77,6 000 000,2 700 103,No,Dadaeva
1,01.01.2025,1,84,41.91,5 730 000,2 954 906,No,Dadaeva
1,01.01.2025,1,85,39.46,5 530 000,2 913 274,No,Dadaeva
2,01.01.2025,2,87,61.93,8 170 000,4 050 429,No,Dadaeva
2,01.01.2025,1,88,49.77,6 160 000,2 860 103,No,Dadaeva
2,01.01.2025,1,90,41.91,5 870 000,3 094 906,No,Dadaeva
4,01.01.2025,2,99,61.93,8 230 000,4 110 429,No,Dadaeva
4,01.01.2025,1,102,41.91,5 930 000,3 154 906,No,Dadaeva
5,01.01.2025,2,105,61.93,8 340 000,4 220 429,No,Dadaeva
5,01.01.2025,2,107,58.39,7 840 000,3 974 879,No,Dadaeva
5,01.01.2025,2,110,54.78,7 790 000,4 207 294,No,Dadaeva
6,01.01.2025,2,113,58.39,7 840 000,3 974 879,No,Dadaeva
7,01.01.2025,1,118,49.68,6 330 000,3 075 371,No,Dadaeva
1,01.01.2025,1,136,41.73,5 680 000,2 840 315,No,Dadaeva
1,01.01.2025,1,137,41.73,5 680 000,2 840 315,No,Dadaeva
1,01.01.2025,2,138,62.37,7 940 000,3 686 257,No,Dadaeva
2,01.01.2025,1,140,41.73,5 830 000,2 990 315,No,Dadaeva
2,01.01.2025,1,141,41.73,5 830 000,2 990 315,No,Dadaeva
3,01.01.2025,1,144,41.73,5 840 000,3 000 315,No,Dadaeva
3,01.01.2025,1,145,41.73,5 840 000,3 000 315,No,Dadaeva
4,01.01.2025,1,148,41.73,5 880 000,3 040 315,No,Dadaeva
4,01.01.2025,1,149,41.73,5 880 000,3 040 315,No,Dadaeva
5,01.01.2025,1,152,41.73,5 920 000,3 080 315,No,Dadaeva
5,01.01.2025,1,153,41.73,5 920 000,3 080 315,No,Dadaeva
6,01.01.2025,1,156,41.73,5 960 000,3 120 315,No,Dadaeva
6,01.01.2025,1,157,41.73,5 960 000,3 120 315,No,Dadaeva
7,01.01.2025,1,160,41.64,5 990 000,3 150 315,No,Dadaeva
7,01.01.2025,1,161,41.64,5 990 000,3 150 315,No,Dadaeva
8,01.01.2025,1,164,41.64,5 990 000,3 150 315,No,Dadaeva
8,01.01.2025,1,165,41.64,5 990 000,3 150 315,No,Dadaeva
9,01.01.2025,1,168,41.9,6 150 000,3 292 622,No,Dadaeva
9,01.01.2025,1,169,41.9,6 150 000,3 292 622,No,Dadaeva
1,01.01.2025,3,171,84.02,10 850 000,4 982 715,No,Dadaeva
1,01.01.2025,1,172,57.79,7 010 000,2 974 409,No,Dadaeva
1,01.01.2025,1,173,57.82,7 020 000,2 982 314,No,Dadaeva
1,01.01.2025,3,174,84.29,10 860 000,4 973 861,No,Dadaeva
2,01.01.2025,3,175,90.07,11 520 000,5 230 232,No,Dadaeva
2,01.01.2025,1,176,57.79,7 180 000,3 144 409,No,Dadaeva
2,01.01.2025,1,177,57.82,7 180 000,3 142 314,No,Dadaeva
3,01.01.2025,3,179,90.07,11 540 000,5 250 232,No,Dadaeva
3,01.01.2025,1,180,57.79,7 200 000,3 164 409,No,Dadaeva
3,01.01.2025,1,181,57.82,7 200 000,3 162 314,No,Dadaeva
3,01.01.2025,3,182,85.64,11 240 000,5 259 588,No,Dadaeva
4,01.01.2025,3,183,90.07,11 590 000,5 300 232,No,Dadaeva
4,01.01.2025,1,184,57.79,7 230 000,3 194 409,No,Dadaeva
4,01.01.2025,1,185,57.82,7 240 000,3 202 314,No,Dadaeva
4,01.01.2025,3,186,85.64,11 290 000,5 309 588,No,Dadaeva
5,01.01.2025,3,187,90.07,11 650 000,5 360 232,No,Dadaeva
5,01.01.2025,1,188,57.79,7 280 000,3 244 409,No,Dadaeva
5,01.01.2025,1,189,57.82,7 290 000,3 252 314,No,Dadaeva
5,01.01.2025,3,190,85.64,11 350 000,5 369 588,No,Dadaeva
6,01.01.2025,3,191,90.07,11 700 000,5 410 232,No,Dadaeva
6,01.01.2025,1,192,57.79,7 330 000,3 294 409,No,Dadaeva
6,01.01.2025,1,193,57.82,7 330 000,3 292 314,No,Dadaeva
6,01.01.2025,3,194,85.64,11 430 000,5 449 588,No,Dadaeva
7,01.01.2025,1,196,57.79,7 360 000,3 324 409,No,Dadaeva
7,01.01.2025,1,197,57.82,7 360 000,3 322 314,No,Dadaeva
7,01.01.2025,3,198,85.64,11 470 000,5 489 588,No,Dadaeva
8,01.01.2025,1,200,57.79,7 360 000,3 324 409,No,Dadaeva
8,01.01.2025,1,201,57.82,7 360 000,3 322 314,No,Dadaeva
9,01.01.2025,1,204,57.79,7 460 000,3 424 409,No,Dadaeva
9,01.01.2025,1,205,57.82,7 460 000,3 422 314,No,Dadaeva
9,01.01.2025,3,206,85.01,11 460 000,5 523 582,No,Dadaeva
1,01.01.2025,1,207,32.16,4 710 000,2 464 203,No,Dadaeva
1,01.01.2025,1,209,32.35,4 730 000,2 470 935,No,Dadaeva
1,01.01.2025,0,210,26.91,4 210 000,2 330 821,No,Dadaeva
1,01.01.2025,0,211,26.88,4 200 000,2 322 916,No,Dadaeva
1,01.01.2025,0,212,26.95,4 210 000,2 328 028,No,Dadaeva
1,01.01.2025,0,213,26.91,4 210 000,2 330 821,No,Dadaeva
1,01.01.2025,1,214,32.35,4 730 000,2 470 935,No,Dadaeva
1,01.01.2025,1,215,32.35,4 730 000,2 470 935,No,Dadaeva
2,01.01.2025,1,219,32.35,4 860 000,2 600 935,No,Dadaeva
2,01.01.2025,0,220,26.91,4 320 000,2 440 821,No,Dadaeva
2,01.01.2025,0,221,26.88,4 320 000,2 442 916,No,Dadaeva
2,01.01.2025,0,222,26.95,4 320 000,2 438 028,No,Dadaeva
2,01.01.2025,0,223,26.91,4 320 000,2 440 821,No,Dadaeva
2,01.01.2025,1,224,32.35,4 860 000,2 600 935,No,Dadaeva
3,01.01.2025,0,230,26.91,4 360 000,2 480 821,No,Dadaeva
3,01.01.2025,0,231,26.88,4 360 000,2 482 916,No,Dadaeva
3,01.01.2025,0,232,26.95,4 360 000,2 478 028,No,Dadaeva
3,01.01.2025,0,233,26.91,4 360 000,2 480 821,No,Dadaeva
3,01.01.2025,1,234,32.35,4 910 000,2 650 935,No,Dadaeva
4,01.01.2025,0,240,26.91,4 360 000,2 480 821,No,Dadaeva
4,01.01.2025,0,242,26.95,4 360 000,2 478 028,No,Dadaeva
5,01.01.2025,1,249,32.35,4950000,2 690 935,No,Dadaeva
5,01.01.2025,0,250,26.91,4390000,2 510 821,No,Dadaeva
5,01.01.2025,0,251,26.88,4390000,2 512 916,No,Dadaeva
5,01.01.2025,0,252,26.95,4400000,2 518 028,No,Dadaeva
5,01.01.2025,0,253,26.91,4390000,2 510 821,No,Dadaeva
6,01.01.2025,1,258,32.35,4950000,2 690 935,No,Dadaeva
6,01.01.2025,1,259,32.35,4950000,2 690 935,No,Dadaeva
6,01.01.2025,0,260,26.91,4390000,2 510 821,No,Dadaeva
