Floor,Date,Number of rooms,Apartment number,m2,Price,Remuneration,Fact of sale,Address
1,,3,1,73.76,10 150 000,5 261 778,No,Dadaeva
1,,2,2,63.96,8 570 000,4 336 457,No,Dadaeva
1,2023-08-01,1,3,37.07,4 356 800,1 934 127,Yes,Dadaeva
1,2024-06-01,1,4,39.4,4 526 800,1 951 852,Yes,Dadaeva
1,2024-06-01,1,5,53.55,5 776 800,2 277 093,Yes,Dadaeva
2,,3,6,74.35,10 390 000,5 462 683,No,Dadaeva
2,,2,7,65.23,8 660 000,4 342 303,No,Dadaeva
2,2023-07-01,1,8,37.07,4 250 000,1 827 327,Yes,Dadaeva
2,2024-06-01,1,9,39.4,4 556 800,1 981 852,Yes,Dadaeva
2,2024-06-01,2,10,59.74,7 020 000,3 061 448,Yes,Dadaeva
3,2024-06-01,3,11,74.35,8 386 800,3 527 730,Yes,Dadaeva
3,2023-05-25,2,12,65.23,6 620 000,2 356 959,Yes,Dadaeva
3,2023-07-01,1,13,37.07,4 180 000,1 757 327,Yes,Dadaeva
3,2023-04-20,1,14,39.4,3 636 800,1 061 852,Yes,Dadaeva
3,2023-06-22,2,15,59.74,5 990 000,2 085 752,Yes,Dadaeva
4,2024-06-01,3,16,74.35,7 996 800,3 137 730,Yes,Dadaeva
4,2023-05-24,2,17,65.23,6 660 000,2 396 959,Yes,Dadaeva
4,2023-07-01,1,18,37.07,4 216 800,1 794 127,Yes,Dadaeva
4,2023-05-05,1,19,39.4,4 660 000,2 085 052,Yes,Dadaeva
4,,2,20,59.74,7 780 000,3 804 220,No,Dadaeva
5,2023-06-21,3,21,74.35,8 090 000,3 230 930,Yes,Dadaeva
5,2023-05-06,2,22,65.23,6 860 000,2 596 959,Yes,Dadaeva
5,2024-06-01,1,23,37.07,4 586 800,2 164 127,Yes,Dadaeva
5,2023-05-05,1,24,39.4,4 756 800,2 181 852,Yes,Dadaeva
5,2023-07-06,2,25,59.74,6 100 000,2 195 752,Yes,Dadaeva
6,2023-06-08,3,26,74.35,8 090 000,3 230 930,Yes,Dadaeva
6,2023-05-10,2,27,65.23,6 866 800,2 603 759,Yes,Dadaeva
6,2023-04-20,1,28,37.07,4 360 000,1 937 327,Yes,Dadaeva
6,2023-06-22,1,29,39.4,4 680 000,2 105 052,Yes,Dadaeva
6,2023-09-22,2,30,59.74,6 708 800,2 804 552,Yes,Dadaeva
7,2023-06-23,3,31,74.26,8 120 000,3 266 812,Yes,Dadaeva
7,2023-05-05,2,32,65.14,6 896 800,2 639 640,Yes,Dadaeva
7,2024-06-01,1,33,36.98,4 316 800,1 900 009,Yes,Dadaeva
7,2023-10-23,1,34,39.26,5 286 800,2 721 002,Yes,Dadaeva
7,2024-06-01,2,35,59.6,6 130 000,2 234 902,Yes,Dadaeva
8,2024-06-01,3,36,74.26,8 120 000,3 266 812,Yes,Dadaeva
8,2023-05-10,2,37,65.44,7 100 000,2 823 234,Yes,Dadaeva
8,2024-06-01,1,38,36.98,4 316 800,1 900 009,Yes,Dadaeva
8,2023-07-01,1,39,39.26,4 690 000,2 124 202,Yes,Dadaeva
8,2023-08-01,2,40,59.6,6 556 800,2 661 702,Yes,Dadaeva
9,,3,41,74.78,10 690 000,5 728 227,No,Dadaeva
9,2024-06-01,2,42,66.18,7 926 800,3 601 672,Yes,Dadaeva
9,2024-06-01,1,43,37.21,4 669 000,2 237 178,Yes,Dadaeva
9,2023-08-22,1,44,39.52,5 100 000,2 517 210,Yes,Dadaeva
9,2023-07-07,2,45,60.12,6 148 800,2 219 718,Yes,Dadaeva
1,2023-08-21,2,46,61.98,6 586 800,2 536 159,Yes,Dadaeva
1,,1,47,41.73,5 710 000,2 944 845,No,Dadaeva
1,,1,48,41.73,5 710 000,2 944 845,No,Dadaeva
1,,2,49,62.29,7 940 000,3 801 213,No,Dadaeva
2,,2,50,66.62,8 450 000,4 024 294,No,Dadaeva
2,,1,51,43.08,6 020 000,3 165 390,No,Dadaeva
2,,1,52,43.08,6 020 000,3 165 390,No,Dadaeva
2,2023-11-01,2,53,62.29,7 230 000,3 102 478,Yes,Dadaeva
3,2023-06-22,2,54,66.62,6 560 000,2 206 117,Yes,Dadaeva
3,2024-06-01,1,55,43.08,4 860 000,2 044 550,Yes,Dadaeva
3,2023-08-22,1,56,43.08,5 206 800,2 391 350,Yes,Dadaeva
3,2023-07-01,2,57,62.29,6 330 000,2 259 099,Yes,Dadaeva
4,2023-07-24,2,58,66.62,6 928 800,2 574 917,Yes,Dadaeva
4,2023-10-01,1,59,43.08,5 131 400,2 315 950,Yes,Dadaeva
4,2023-08-01,1,60,43.08,5 236 800,2 421 350,Yes,Dadaeva
4,2024-06-01,2,61,62.29,6 480 000,2 409 099,Yes,Dadaeva
5,2023-07-01,2,62,66.62,6 770 000,2 416 117,Yes,Dadaeva
5,2023-08-01,1,63,43.08,5 480 800,2 665 350,Yes,Dadaeva
5,2024-06-01,1,64,43.08,5 270 000,2 454 550,Yes,Dadaeva
5,2023-07-13,2,65,62.29,6 530 000,2 459 099,Yes,Dadaeva
6,2024-06-01,2,66,66.62,6 816 800,2 462 917,Yes,Dadaeva
6,2023-11-01,1,67,43.08,5 580 000,2 725 390,Yes,Dadaeva
6,2023-10-01,1,68,43.08,5 803 200,2 987 750,Yes,Dadaeva
6,2023-10-24,2,69,62.29,7 020 000,2 949 099,Yes,Dadaeva
7,2023-05-01,2,70,66.48,6 676 800,2 332 066,Yes,Dadaeva
7,2024-06-01,1,71,42.99,5 340 000,2 530 432,Yes,Dadaeva
7,2023-10-01,1,72,42.99,5 550 000,2 740 432,Yes,Dadaeva
7,2023-08-01,2,73,62.14,6 910 000,2 848 902,Yes,Dadaeva
8,,2,74,66.48,8 650 000,4 224 294,No,Dadaeva
8,2023-09-28,1,75,41.95,5 466 800,2 725 200,Yes,Dadaeva
8,2024-06-01,1,76,41.95,6 130 000,3 350 267,Yes,Dadaeva
8,2024-05-01,2,77,62.14,6 700 000,2 561 213,Yes,Dadaeva
9,2023-06-23,2,78,67,6 730 000,2 351 282,Yes,Dadaeva
9,2023-06-07,1,79,41.9,4 996 800,2 258 467,Yes,Dadaeva
9,2023-11-09,1,80,41.9,5 606 800,2 830 380,Yes,Dadaeva
9,2023-05-01,2,81,62.66,6 680 000,2 584 918,Yes,Dadaeva
1,,1,82,49.77,6 000 000,2 700 103,No,Dadaeva
1,2023-11-01,2,83,58.39,6 660 000,2 790 903,Yes,Dadaeva
1,,1,84,41.91,5 730 000,2 954 906,No,Dadaeva
1,,1,85,39.46,5 530 000,2 913 274,No,Dadaeva
1,2024-06-01,2,86,53.51,6 060 000,2 562 907,Yes,Dadaeva
2,,2,87,61.93,8 170 000,4 050 429,No,Dadaeva
2,,1,88,49.77,6 160 000,2 860 103,No,Dadaeva
2,2023-11-15,2,89,58.39,6 850 000,2 984 879,Yes,Dadaeva
2,,1,90,41.91,5 870 000,3 094 906,No,Dadaeva
2,2023-10-18,1,91,39.46,5 166 800,2 587 931,Yes,Dadaeva
2,2023-07-15,2,92,54.78,5 806 800,2 226 708,Yes,Dadaeva
3,2023-08-30,2,93,61.93,6 780 000,2 732 627,Yes,Dadaeva
3,2023-08-16,1,94,49.77,5 436 800,2 184 131,Yes,Dadaeva
3,2023-05-25,2,95,58.39,5 960 000,2 143 980,Yes,Dadaeva
3,2023-06-07,1,96,41.91,4 780 000,2 041 014,Yes,Dadaeva
3,2023-08-23,1,97,39.46,4 930 000,2 351 131,Yes,Dadaeva
3,2023-09-04,2,98,54.78,6 250 000,2 669 908,Yes,Dadaeva
4,,2,99,61.93,8 230 000,4 110 429,No,Dadaeva
